TABLE=Profil
Numero;Nom;Description;DroitsForm;DroitsFunc;DroitsApc;DroitsPerso;Options;TempoDeconnexion;Categories;NotificationGravite;Extension
1;Administrateur;Utilisateurs avec droit d'administration;198655;1091043327;8191;0;2;0;-1;0;"<?xml version=""1.0"" encoding=""utf-16""?>\n<ProfilExtension xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">\n  <FilterGroup />\n  <FilterApcService />\n  <FilterApcProfil />\n  <FilterApcGLecteur />\n  <FilterFile />\n  <FilterHistoInDays>1000</FilterHistoInDays>\n  <FilterVideoInDays>1000</FilterVideoInDays>\n  <RightsVideo>-1</RightsVideo>\n</ProfilExtension>"
2;Utilisateur;Utilisateurs sans droit d'administration;198655;1073750015;4095;0;22;0;-1;0;"<?xml version=""1.0"" encoding=""utf-16""?>\n<ProfilExtension xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"">\n  <FilterGroup />\n  <FilterApcService />\n  <FilterApcProfil />\n  <FilterApcGLecteur />\n  <FilterFile />\n  <FilterHistoInDays>1000</FilterHistoInDays>\n  <FilterVideoInDays>1000</FilterVideoInDays>\n  <RightsVideo>-1</RightsVideo>\n</ProfilExtension>"
