TABLE=GLecteurDef
GLecteur;Variable
1;2760
2;9438
3;9800
4;9801
5;9802
6;9803
7;9804
8;2760
8;9438
8;9800
8;9801
8;9802
8;9803
8;9804
8;10119
8;10120
8;10121
8;10122
8;10123
8;10124
8;10125
8;10223
8;10224
8;10225
8;10226
8;10247
8;10481
8;10482
8;10623
9;10119
10;10120
11;10247
12;10122
13;10123
14;10125
15;10124
16;10226
17;10225
18;10224
19;10223
20;10481
21;10482
22;10623
